"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 07 10:35:47 UTC 2026","Tue Apr 07 10:35:48 UTC 2026","974","","org.example.tests.CartTest","","org.example.tests.CartTest","addTwoItemsIncreasesBadgeToTwo","addTwoItemsIncreasesBadgeToTwo()","Adding two items should increment the cart badge to 2"
"passed","Tue Apr 07 10:35:52 UTC 2026","Tue Apr 07 10:35:53 UTC 2026","1012","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialsShowError","invalidCredentialsShowError(String, String) [6] aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, secret_sauce","Invalid credentials should display an error message"
"passed","Tue Apr 07 10:35:37 UTC 2026","Tue Apr 07 10:35:41 UTC 2026","3555","","org.example.tests.CartTest","","org.example.tests.CartTest","addSingleItemIncreasesBadge","addSingleItemIncreasesBadge()","Adding a single item should increment the cart badge to 1"
"passed","Tue Apr 07 10:35:50 UTC 2026","Tue Apr 07 10:35:51 UTC 2026","856","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialsShowError","invalidCredentialsShowError(String, String) [3] bad_user, bad_pass","Invalid credentials should display an error message"
"passed","Tue Apr 07 10:35:53 UTC 2026","Tue Apr 07 10:35:54 UTC 2026","832","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialsShowError","invalidCredentialsShowError(String, String) [7]    , secret_sauce","Invalid credentials should display an error message"
"passed","Tue Apr 07 10:35:48 UTC 2026","Tue Apr 07 10:35:49 UTC 2026","951","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialsShowError","invalidCredentialsShowError(String, String) [1] wrong_user, secret_sauce","Invalid credentials should display an error message"
"passed","Tue Apr 07 10:35:51 UTC 2026","Tue Apr 07 10:35:51 UTC 2026","872","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialsShowError","invalidCredentialsShowError(String, String) [4] ' OR '1'='1, secret_sauce","Invalid credentials should display an error message"
"passed","Tue Apr 07 10:35:41 UTC 2026","Tue Apr 07 10:35:47 UTC 2026","6179","","org.example.tests.CartTest","","org.example.tests.CartTest","emptyCartShowsNoItems","emptyCartShowsNoItems()","Navigating to an empty cart should show no items"
"passed","Tue Apr 07 10:35:51 UTC 2026","Tue Apr 07 10:35:52 UTC 2026","864","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialsShowError","invalidCredentialsShowError(String, String) [5] <script>alert(1)</script>, secret_sauce","Invalid credentials should display an error message"
"passed","Tue Apr 07 10:35:55 UTC 2026","Tue Apr 07 10:35:56 UTC 2026","816","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialsShowError","invalidCredentialsShowError(String, String) [9] standard_user, ","Invalid credentials should display an error message"
"passed","Tue Apr 07 10:35:56 UTC 2026","Tue Apr 07 10:35:57 UTC 2026","857","","org.example.tests.LoginTest","","org.example.tests.LoginTest","validLoginNavigatesToInventory","validLoginNavigatesToInventory()","Valid credentials should navigate to the inventory page"
"passed","Tue Apr 07 10:35:54 UTC 2026","Tue Apr 07 10:35:55 UTC 2026","842","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialsShowError","invalidCredentialsShowError(String, String) [8] , secret_sauce","Invalid credentials should display an error message"
"passed","Tue Apr 07 10:35:49 UTC 2026","Tue Apr 07 10:35:50 UTC 2026","872","","org.example.tests.LoginTest","","org.example.tests.LoginTest","invalidCredentialsShowError","invalidCredentialsShowError(String, String) [2] standard_user, wrong_pass","Invalid credentials should display an error message"
